_RA,_DE,HR,SpT,52,33-52,35-52,37-52,40-52,45-52,52-58,52-63,52-72,52-80,52-86,52-99,52-110
1.33392,-5.70762,3,K1 III,4.879,1.674,1.468,1.578,1.363,0.451,0.523,0.831,1.074,1.304,1.452,1.604,1.762
2.09692,29.09043,15,B9 p (III),2.061,-0.779,-0.734,-0.478,-0.167,-0.051,-0.014,-0.034,-0.051,-0.064,-0.104,-0.151,-0.161
2.29452,59.14978,21,F2 IV,2.367,0.366,0.277,0.266,0.376,0.169,0.190,0.322,0.434,0.534,0.549,0.592,0.663
2.35267,-45.74743,25,K0 III,4.129,1.743,1.437,1.596,1.324,0.491,0.508,0.759,0.987,1.221,1.357,1.497,1.730
2.58019,46.07227,27,F2 II,5.120,0.766,0.607,0.334,0.429,0.219,0.242,0.387,0.549,0.676,0.734,0.818,0.943
2.81607,-15.46798,33,F6 V,5.018,0.207,0.114,0.305,0.541,0.257,0.259,0.428,0.611,0.763,0.789,0.827,0.930
3.30896,15.18359,39,B2 IV,2.794,-1.428,-1.322,-0.891,-0.312,-0.077,-0.069,-0.110,-0.179,-0.241,-0.316,-0.446,-0.486
3.65069,20.20670,45,M2 III,5.198,3.527,2.998,2.944,2.317,0.691,0.752,1.269,1.953,2.452,2.653,3.001,3.287
3.66007,-18.93287,48,M2 III,4.894,3.757,3.222,3.146,2.504,0.771,0.786,1.311,1.984,2.475,2.689,3.023,3.253
4.27291,38.68164,63,A2 V,4.638,0.105,0.083,0.079,0.056,0.020,0.077,0.056,0.066,0.118,0.099,0.126,0.142
4.58191,36.78523,68,A2 V,4.532,0.119,0.105,0.123,0.087,0.038,0.045,0.053,0.069,0.095,0.092,0.113,0.176
4.85698,-8.82392,74,K2 III,3.855,2.306,2.068,2.073,1.702,0.541,0.577,0.910,1.193,1.446,1.591,1.773,1.960
5.01775,-64.87479,77,G2 V,4.369,0.380,0.239,0.463,0.665,0.316,0.312,0.490,0.720,0.885,0.932,1.040,0.898
6.43779,-77.25425,98,G2 IV,2.939,0.560,0.411,0.572,0.737,0.342,0.312,0.495,0.725,0.858,0.904,0.973,1.187
6.57105,-42.30599,99,K0 III,2.686,1.842,1.515,1.680,1.407,0.525,0.567,0.852,1.155,1.410,1.529,1.739,1.962
6.55084,-43.67983,100,A7 Vn,3.983,0.302,0.175,0.253,0.177,0.122,0.112,0.130,0.201,0.250,0.230,0.266,0.339
6.98208,-33.00717,105,M4 IIIa,5.192,3.817,3.165,3.043,2.355,0.880,0.712,1.276,2.125,2.762,2.991,3.360,3.765
7.94316,54.52228,123,B8 V,4.715,-0.559,-0.514,-0.373,-0.121,-0.029,-0.014,-0.044,-0.003,-0.023,-0.082,-0.142,-0.126
7.85409,-48.80351,125,A0 V,4.760,0.049,0.023,0.053,0.031,0.020,0.012,0.006,,,,,
7.88612,-62.95822,126,B8 V,4.367,-0.331,-0.304,-0.158,-0.054,0.004,-0.010,-0.024,,,,,
7.88949,-62.96556,127,A2 V,4.611,0.075,0.024,0.156,0.159,0.056,0.109,0.172,,,,,
8.24996,62.93178,130,B1 Ia,4.220,-1.043,-0.986,-0.582,0.068,0.142,0.092,0.164,0.219,0.271,0.261,0.218,0.286
9.24285,53.89691,153,B2 V,3.685,-1.373,-1.246,-0.840,-0.269,-0.064,-0.052,-0.099,-0.149,-0.189,-0.252,-0.393,-0.432
9.22021,33.71934,154,B5 V,4.368,-0.946,-0.864,-0.592,-0.180,-0.036,-0.014,-0.046,-0.058,-0.085,-0.139,-0.216,-0.190
9.63894,29.31175,163,G8 IIIp,4.560,1.176,0.932,1.043,1.077,0.432,0.415,0.679,0.938,1.170,1.257,1.411,1.576
9.83198,30.86102,165,K3 III,3.645,2.577,2.313,2.352,1.845,0.537,0.669,1.002,1.323,1.609,1.737,1.949,2.176
10.12684,56.53733,168,K0 II-III,2.521,2.142,1.925,1.939,1.645,0.556,0.545,0.840,1.115,1.359,1.475,1.654,1.863
10.51623,50.51253,179,B2 V,4.825,-0.985,-0.910,-0.621,-0.174,-0.027,-0.016,-0.018,-0.054,-0.077,-0.104,-0.166,-0.153
10.33147,-46.08500,180,G8 III,4.822,1.524,1.274,1.436,1.248,0.504,0.479,0.719,1.007,1.201,1.283,1.424,1.657
10.89738,-17.98661,188,K1 III,2.354,1.772,1.556,1.615,1.388,0.477,0.516,0.799,1.042,1.269,1.395,1.534,1.687
10.83849,-57.46306,191,A0 V,4.376,0.010,0.011,-0.057,-0.015,0.018,0.008,0.002,,,,,
11.18133,48.28436,193,B2 V,4.586,-0.778,-0.722,-0.531,-0.102,0.009,0.036,0.042,0.030,0.035,0.017,-0.050,0.033
11.04750,-10.60955,194,K0 III,5.038,1.656,1.446,1.539,1.335,0.461,0.497,0.794,1.044,1.280,1.386,1.526,1.688
11.83469,24.26718,215,K1 II,4.437,1.800,1.572,1.669,1.473,0.507,0.583,0.912,1.212,1.464,1.571,1.760,1.953
12.27621,57.81519,219,G0 V,3.587,0.307,0.200,0.428,0.655,0.275,0.297,0.520,0.689,0.847,0.896,0.991,1.137
