idx,HIP,RA_deg,Dec_deg,x,y,z,Vmag,Hpmag
0,32349,101.28715541,-16.71611582,-0.187455230,0.939217529,-0.287629919,-1.4402,-1.4400
1,24608,79.17232940,45.99799111,0.130500259,0.682315890,0.719315444,-0.8123,0.0800
2,30438,95.98795780,-52.69566046,-0.063222653,0.602741950,-0.795427581,-0.6777,-0.6200
3,27989,88.79293860,7.40706274,0.020889851,0.991435225,0.128917837,-0.4423,0.4500
4,69673,213.91530002,19.18241032,-0.783787055,-0.526986905,0.328576710,-0.3621,-0.0500
5,71683,219.90206517,-60.83397593,-0.373860484,-0.312618782,-0.873211221,-0.1672,-0.0100
6,91262,279.23473510,38.78369180,0.125096463,-0.769413097,0.626381962,0.0300,0.0300
7,80763,247.35192046,-26.43200249,-0.344815948,-0.826411780,-0.445135409,0.1677,1.0600
8,24436,78.63446812,-8.20164055,0.195052013,0.970362620,-0.142657274,0.1802,0.1800
9,37279,114.82549300,5.22499307,-0.418111346,0.903819510,0.091066988,0.3008,0.4000
10,21421,68.98016110,16.50930139,0.343903643,0.894973256,0.284170996,0.3665,0.8700
11,7588,24.42852736,-57.23675749,0.492722252,0.223804598,-0.840913958,0.4591,0.4500
12,61084,187.79149709,-57.11321169,-0.537968015,-0.073611118,-0.839745091,0.4686,1.5900
13,68702,210.95585201,-60.37303931,-0.423937532,-0.254282984,-0.869262408,0.6267,0.6100
14,112122,340.66687781,-46.88457690,0.644929220,-0.226269636,-0.729978324,0.6501,2.0700
15,97649,297.69582915,8.86832199,0.459221293,-0.874842399,0.154164134,0.7403,0.7600
16,60718,186.64956584,-63.09909166,-0.449405207,-0.052391975,-0.891790357,0.7712,0.7700
17,37826,116.32895983,28.02619863,-0.391513425,0.791160220,0.469875243,0.9101,1.1600
18,65474,201.29824701,-11.16132203,-0.914080171,-0.356352749,-0.193572105,0.9987,0.9800
19,71681,219.89616896,-60.83715723,-0.373855455,-0.312549209,-0.873238279,1.1340,1.3500
20,113368,344.41269372,-29.62223616,0.837332042,-0.233587349,-0.494279275,1.1606,1.1700
21,102098,310.35797809,45.28033800,0.455649045,-0.536182063,0.710558050,1.2322,1.2500
22,62434,191.93026305,-59.68876362,-0.493795449,-0.104331453,-0.863296590,1.2667,1.2500
23,49669,152.09296110,11.96720706,-0.864502011,0.457866242,0.207351819,1.3608,1.3600
24,5447,17.43301493,35.62055770,0.775553979,0.243534750,0.582414673,1.4749,2.0700
25,33579,104.65645182,-28.97208374,-0.221358373,0.846388310,-0.484383421,1.5262,1.5000
26,113881,345.94357301,28.08278909,0.855850554,-0.214282999,0.470746880,1.5273,2.4400
27,41037,125.62848160,-59.50948307,-0.295571767,0.412416991,-0.861713152,1.5279,1.8600
28,36850,113.64942834,31.88827629,-0.340599376,0.777771540,0.528264609,1.5724,1.5800
29,82273,252.16622864,-69.02771504,-0.109614183,-0.340718096,-0.933753667,1.6208,1.9100
30,85927,263.40216661,-37.10382115,-0.091637441,-0.792261655,-0.603261179,1.6212,1.6200
31,25428,81.57297249,28.60745001,0.128658993,0.868442090,0.478806016,1.6489,1.6500
32,25336,81.28276276,6.34970223,0.150628448,0.982384591,0.110596499,1.6567,1.6400
33,46390,141.89684698,-8.65860253,-0.777932689,0.610046278,-0.150546572,1.6579,1.9900
34,45238,138.29989785,-69.71720774,-0.258824670,0.230605197,-0.937993088,1.6582,1.6700
35,72607,222.67636006,74.15550491,-0.200728206,-0.185073374,0.962006254,1.6674,2.0700
36,44816,136.99899358,-43.43258935,-0.531088470,0.495265451,-0.687500669,1.6783,2.2300
37,9884,31.79336293,23.46242313,0.779680739,0.483297510,0.398147538,1.6979,2.0100
38,54061,165.93195289,61.75103320,-0.459108325,0.115047887,0.880899273,1.6991,1.8100
39,15863,51.08070979,49.86117959,0.404980088,0.501551706,0.764484803,1.7072,1.7900
40,26311,84.05338934,-1.20191983,0.103578908,0.994400030,-0.020975920,1.7114,1.6900
41,109268,332.05827280,-46.96097543,0.602934058,-0.319799570,-0.730889018,1.7254,1.7300
42,87833,269.15154113,51.48889499,-0.009220355,-0.622598039,0.782487487,1.7365,2.2400
43,34444,107.09785107,-26.39319967,-0.263358781,0.856175356,-0.444528866,1.7420,1.8300
44,62956,193.50728928,55.95982116,-0.544290898,-0.130745922,0.828645233,1.7431,1.7600
45,39953,122.38312600,-47.33658771,-0.362956055,0.572299706,-0.735347502,1.7508,1.7500
46,50583,154.99314356,19.84148874,-0.852457463,0.397631643,0.339419137,1.7601,2.0100
47,26727,85.18969642,-1.94257224,0.083808850,0.995905124,-0.033897786,1.7614,1.7400
48,90185,276.04299301,-34.38461611,0.086879536,-0.820679312,-0.564745440,1.7864,1.7900
49,3419,10.89737940,-17.98660460,0.933977375,0.179811392,-0.308794635,1.7901,2.0400
50,21479,69.18996817,-62.07715439,0.166366901,0.437733066,-0.883578982,1.8030,5.5900
51,68933,211.67061860,-36.36995446,-0.685294133,-0.422760969,-0.592996724,1.8101,2.0600
52,86228,264.32971086,-42.99782386,-0.072263046,-0.727800919,-0.681970582,1.8252,1.8600
53,14135,45.56988401,4.08973396,0.698256193,0.712286409,0.071318726,1.8463,2.5400
54,67301,206.88515682,49.31326506,-0.581459591,-0.294801907,0.758285289,1.8591,1.8500
55,84345,258.66191003,14.39033281,-0.190429768,-0.949721592,0.248526460,1.8673,2.7800
56,11767,37.95451568,89.26410952,0.010126979,0.007899124,0.999917521,1.8820,1.9700
57,28360,89.88217889,44.94743278,0.001455403,0.707753737,0.706457734,1.8924,1.9000
58,31681,99.42792124,16.39925217,-0.157142676,0.946359631,0.282328936,1.9182,1.9300
59,42913,131.17594322,-54.70882109,-0.380363409,0.434853887,-0.816226546,1.9300,1.9300
60,100751,306.41190763,-56.73509010,0.325588436,-0.441425312,-0.836143447,1.9412,1.9400
61,3179,10.12683548,56.53733109,0.542803354,0.096950324,0.834245260,1.9508,2.2400
62,66666,204.99919734,-49.94995564,-0.583173408,-0.271928280,-0.765482715,1.9530,5.7400
63,82396,252.54088741,-34.29323173,-0.247870220,-0.788104514,-0.563428459,1.9779,2.2900
64,30324,95.67493869,-17.95591772,-0.094068231,0.946631616,-0.308285178,2.0062,1.9800
65,107315,326.04649214,9.87501126,0.817201492,-0.550245093,0.171499443,2.0107,2.3800
66,30343,95.74011257,22.51358585,-0.092393990,0.919156697,0.382902490,2.0163,2.8700
67,92855,283.81635716,-26.29672225,0.214096599,-0.870572232,-0.443019904,2.0591,2.0500
68,86032,263.73362733,12.56003477,-0.106538804,-0.970236858,0.217462462,2.0595,2.0800
69,677,2.09691071,29.09043199,0.873268265,0.031974145,0.486189460,2.0702,2.0700
70,14576,47.04221485,40.95564770,0.514649805,0.552710236,0.655474617,2.0844,2.0900
71,27366,86.93912023,-9.66960478,0.052638396,0.984386343,-0.167966443,2.0914,2.0700
72,9640,30.97480447,42.32972473,0.633855595,0.380479598,0.673396139,2.0944,2.1000
73,79593,243.58641439,-3.69432297,-0.443923162,-0.893745243,-0.064433432,2.1062,2.7300
74,57632,177.26490656,14.57206032,-0.966729454,0.046183256,0.251597435,2.1306,2.1400
75,100453,305.55709120,40.25667924,0.443786468,-0.620856179,0.646212949,2.1420,2.2300
76,2081,6.57104570,-42.30598151,0.734702450,0.084631745,-0.673089725,2.1501,2.4000
77,4427,14.17721554,60.71674038,0.474230187,0.119798047,0.872212220,2.1512,2.1500
78,45556,139.27252781,-59.27522929,-0.387182118,0.333352287,-0.859631468,2.1523,2.2100
79,61932,190.37932752,-48.95988845,-0.645843185,-0.118293550,-0.754250102,2.1882,2.2000
80,746,2.29452116,59.14977962,0.512384411,0.020530409,0.858510756,2.1969,2.2800
81,76267,233.67195049,26.71469302,-0.529171772,-0.719641409,0.449548081,2.2200,2.2200
82,65378,200.98142880,54.92536175,-0.536542220,-0.205759752,0.818404161,2.2224,2.2300
83,102488,311.55284472,33.97025610,0.550101839,-0.620622663,0.558762451,2.2301,2.4800
84,39429,120.89602782,-40.00314770,-0.393331718,0.657312821,-0.642829693,2.2314,2.2100
85,35264,109.28565178,-37.09746988,-0.263433248,0.752851604,-0.603172767,2.2689,2.7100
86,25930,83.00166968,-0.29909204,0.121838759,0.992536179,-0.005220117,2.2762,2.2500
87,78401,240.08335942,-22.62170993,-0.460368740,-0.800067974,-0.384645108,2.2912,2.2900
88,23015,74.24841152,33.16609031,0.227241943,0.805653655,0.547067901,2.2943,2.6900
89,66657,204.97191001,-53.46639378,-0.539643026,-0.251317654,-0.803507835,2.3067,2.2900
90,71860,220.48231508,-47.38820014,-0.514951481,-0.439535298,-0.735957671,2.3167,2.3000
91,77070,236.06697851,6.42562699,-0.554716600,-0.824478552,0.111913409,2.3179,2.6300
92,97278,296.56491454,10.61326120,0.439560903,-0.879127047,0.184178848,2.3243,2.7200
93,72105,221.24674043,27.07422244,-0.669484845,-0.587055075,0.455144351,2.3331,2.3500
94,53910,165.46031999,56.38242679,-0.535915895,0.138993315,0.832751471,2.3400,2.3400
95,18543,59.50735988,-13.50851533,0.493389801,0.837855760,-0.233589875,2.3462,2.9700
96,71352,218.87676586,-42.15782447,-0.577099473,-0.465274310,-0.671175100,2.3487,2.3300
97,89931,275.24850731,-29.82810326,0.079357123,-0.863884338,-0.497399535,2.3879,2.7200
98,73714,226.01756480,-25.28196464,-0.627922496,-0.650631824,-0.427073258,2.3963,3.2500
99,85258,261.32495294,-55.52988403,-0.085366381,-0.559501360,-0.824421500,2.3989,2.8400
100,89642,274.40681271,-36.76168598,0.061557027,-0.798763315,-0.598488011,2.4063,3.1000
101,86670,265.62197877,-39.02998302,-0.059299495,-0.774549864,-0.629726987,2.4067,2.3900
102,58001,178.45769772,53.69476008,-0.591872384,0.015936020,0.805874137,2.4100,2.4100
103,84012,257.59453052,-15.72491023,-0.206788388,-0.940099613,-0.271018966,2.4224,2.4300
104,105199,319.64488119,62.58557261,0.350863645,-0.298134773,0.887699476,2.4303,2.4500
105,35904,111.02376056,-29.30310360,-0.312849766,0.813992385,-0.489429689,2.4474,2.4500
106,86742,265.86813797,4.56730281,-0.071823305,-0.994233606,0.079630076,2.4479,2.7600
107,29655,93.71940501,22.50679887,-0.059929378,0.921888249,0.382793060,2.4563,3.3100
108,61359,188.59681092,-23.39675917,-0.907465590,-0.137189603,-0.397095979,2.4581,2.6500
109,50801,155.58225241,41.49951638,-0.681970961,0.309610495,0.662613726,2.4649,3.0600
110,14354,46.29413912,38.84027386,0.538184062,0.563062128,0.627151462,2.4663,3.3200
111,45941,140.52840967,-55.01066799,-0.442648784,0.364523019,-0.819258825,2.4712,2.4700
112,52727,161.69240913,-49.42025537,-0.617579673,0.204335722,-0.759501324,2.4822,2.6900
113,107956,328.07576427,21.27316244,0.790915472,-0.492765816,0.362814783,2.4830,6.2700
114,113963,346.19022409,15.20526442,0.937097912,-0.230342866,0.262277845,2.4864,2.4900
115,80331,245.99785870,61.51421312,-0.194005559,-0.435699797,0.878935452,2.5033,2.7300
116,25985,83.18256633,-17.82228853,0.113009440,0.945279151,-0.306065668,2.5223,2.5800
117,63090,193.90086578,3.39747026,-0.969006771,-0.239820471,0.059262299,2.5363,3.3900
118,110130,334.62539235,-60.25958759,0.448212895,-0.212583755,-0.868281837,2.5379,2.8700
119,90496,276.99266896,-25.42170011,0.109954372,-0.896454737,-0.429277230,2.5435,2.8200
120,45860,140.26375544,34.39256184,-0.634564819,0.527504317,0.564859882,2.5449,3.1400
121,67927,208.67116138,18.39771704,-0.832543236,-0.455259611,0.315611229,2.5474,2.6800
122,54872,168.52708898,20.52371682,-0.917814260,0.186279568,0.350595074,2.5506,2.5600
123,68002,208.88494064,-47.28837511,-0.593921403,-0.327658584,-0.734776986,2.5512,2.5500
124,80816,247.55499986,21.48961328,-0.355255437,-0.859996532,0.366332552,2.5533,2.7800
125,81377,249.28974079,-10.56708997,-0.347644861,-0.919517458,-0.183386734,2.5622,2.5400
126,17678,56.80975498,-74.23896234,0.148693630,0.227312142,-0.962402927,2.5663,3.2600
127,78820,241.35929462,-19.80545336,-0.450963275,-0.825728811,-0.338827471,2.5733,2.5600
128,59803,183.95154258,-17.54192947,-0.951229879,-0.065708092,-0.301403656,2.5764,2.5800
129,93506,285.65297476,-29.88010539,0.233944298,-0.834913215,-0.498186700,2.5803,2.6000
130,59196,182.08958257,-50.72242559,-0.632656971,-0.023083295,-0.774088056,2.5812,2.5800
131,85670,262.60817511,52.30138713,-0.078672997,-0.606425966,0.791238338,2.5981,2.7900
132,74785,229.25172845,-9.38291740,-0.644003810,-0.747448809,-0.163031811,2.6044,2.6100
